DIVISION,w4tempnite,w4tempgone,w4temphome,lwr_nite,lwr_gone,lwr_home,upr_nite,upr_gone,upr_home
NewEng,65.67195799,64.61018867,68.18010771,65.41210633,64.29949017,67.76419137,65.93180966,64.92088717,68.59602406
MidAtlan,67.30342337,66.48801288,69.20760169,66.35859184,65.5173678,69.00841431,68.2482549,67.45865796,69.40678908
ENCen,67.93267727,66.83602671,69.70346344,67.4877718,65.96394867,69.24846357,68.37758273,67.70810475,70.15846331
WNCentral,68.0679748,67.17892139,69.63445169,67.42465048,66.15333695,69.50847717,68.71129912,68.20450582,69.76042622
SoutAtlan,69.19868217,68.54697616,70.64660764,68.94826784,67.95139947,70.33537926,69.4490965,69.14255285,70.95783602
ESCen,69.30772278,68.13987385,70.62839857,68.98123249,67.3649786,70.43802944,69.63421307,68.91476909,70.8187677
WSCentral,69.86110241,68.26725842,71.29428433,69.55766038,67.6319743,71.16649953,70.16454443,68.90254255,71.42206912
MountNth,66.80775895,65.93050546,69.2498159,66.37197347,65.2965491,69.01139153,67.24354442,66.56446183,69.48824027
MountSth,68.8815814,67.41744208,70.82876685,68.32940937,66.889597,70.53974629,69.43375343,67.94528716,71.11778741
Pacific,66.54376297,65.34039085,69.75933441,66.3883992,65.17199413,69.26352376,66.69912674,65.50878756,70.25514506
