division,lwr_nite,upr_nite,lwr_gone,upr_gone,lwr_home,upr_home,w4tempnite,w4tempgone,w4temphome
NewEng,65.41210633,65.93180966,64.29949017,64.92088717,67.76419137,68.59602406,65.67195799,64.61018867,68.18010771
MidAtlan,66.35859184,68.2482549,65.5173678,67.45865796,69.00841431,69.40678908,67.30342337,66.48801288,69.20760169
ENCen,67.4877718,68.37758273,65.96394867,67.70810475,69.24846357,70.15846331,67.93267727,66.83602671,69.70346344
WNCentral,67.42465048,68.71129912,66.15333695,68.20450582,69.50847717,69.76042622,68.0679748,67.17892139,69.63445169
SoutAtlan,68.94826784,69.4490965,67.95139947,69.14255285,70.33537926,70.95783602,69.19868217,68.54697616,70.64660764
ESCen,68.98123249,69.63421307,67.3649786,68.91476909,70.43802944,70.8187677,69.30772278,68.13987385,70.62839857
WSCentral,69.55766038,70.16454443,67.6319743,68.90254255,71.16649953,71.42206912,69.86110241,68.26725842,71.29428433
MountNth,66.37197347,67.24354442,65.2965491,66.56446183,69.01139153,69.48824027,66.80775895,65.93050546,69.2498159
MountSth,68.32940937,69.43375343,66.889597,67.94528716,70.53974629,71.11778741,68.8815814,67.41744208,70.82876685
Pacific,66.3883992,66.69912674,65.17199413,65.50878756,69.26352376,70.25514506,66.54376297,65.34039085,69.75933441
